param_idx,float32,int8_dequant,abs_error,rel_error
0,-0.4007139731572768,-0.4007139731572768,0.0,0.0
1,0.43203853201213727,0.43203853201213727,0.0,0.0
2,0.5881776332225366,0.5881776332225366,0.0,0.0
3,0.36531106090009857,0.36531106090009857,0.0,0.0
4,-0.14340944631200128,-0.14340944631200128,0.0,0.0
5,-0.13961902722362846,-0.13961902722362846,0.0,0.0
6,-0.4806378927118216,-0.4806378927118216,0.0,0.0
7,0.7476515136046246,0.7476515136046246,0.0,0.0
8,-0.07525400668429527,-0.07525400668429527,0.0,0.0
9,0.11172565940268299,0.11172565940268299,0.0,0.0
10,-0.4769835650669691,-0.4769835650669691,0.0,0.0
11,0.8530937394937775,0.8530937394937775,0.0,0.0
12,0.8075807470552038,0.8075807470552038,0.0,0.0
13,-0.0734333542608698,-0.0734333542608698,0.0,0.0
14,-0.3155740037949689,-0.3155740037949689,0.0,0.0
15,-0.20899221582389482,-0.20899221582389482,0.0,0.0
16,-0.500509026193914,-0.500509026193914,0.0,0.0
17,-0.14919937530388544,-0.14919937530388544,0.0,0.0
18,0.2084094169222902,0.2084094169222902,0.0,0.0
19,-0.04464148980959953,-0.04464148980959953,0.0,0.0
20,0.4758240588723385,0.4758240588723385,0.0,0.0
21,-0.159536812467158,-0.159536812467158,0.0,0.0
22,-0.16355113106395355,-0.16355113106395355,0.0,0.0
23,0.0811161862012781,0.0811161862012781,0.0,0.0
24,-0.23952491859871045,-0.23952491859871045,0.0,0.0
25,0.23404916180988874,0.23404916180988874,0.0,0.0
26,-0.36310414925876416,-0.36310414925876416,0.0,0.0
27,0.0966143650941947,0.0966143650941947,0.0,0.0
28,0.5030119972483098,0.5030119972483098,0.0,0.0
29,-0.3128064590167643,-0.3128064590167643,0.0,0.0
30,0.2600912260876038,0.2600912260876038,0.0,0.0
31,-0.2543882881998432,-0.2543882881998432,0.0,0.0
32,-0.8204994884459464,-0.8204994884459464,0.0,0.0
33,0.43035855053377403,0.43035855053377403,0.0,0.0
34,0.9045384416886807,0.9045384416886807,0.0,0.0
35,0.6496756678881755,0.6496756678881755,0.0,0.0
36,0.0586314404731007,0.0586314404731007,0.0,0.0
37,-0.21888969068834846,-0.21888969068834846,0.0,0.0
38,0.3695360248277852,0.3695360248277852,0.0,0.0
39,0.16841610090022358,0.16841610090022358,0.0,0.0
40,-0.32948835086381856,-0.32948835086381856,0.0,0.0
41,-0.35636321972790325,-0.35636321972790325,0.0,0.0
42,1.174470580046921,1.174470580046921,0.0,0.0
43,0.6889799429722531,0.6889799429722531,0.0,0.0
44,1.16763733349546,1.16763733349546,0.0,0.0
45,0.37126465119847135,0.37126465119847135,0.0,0.0
46,0.07382407105902104,0.07382407105902104,0.0,0.0
47,0.7186499217089278,0.7186499217089278,0.0,0.0
48,-0.27882651815334814,-0.27882651815334814,0.0,0.0
49,-0.19744125823956635,-0.19744125823956635,0.0,0.0
50,-0.4071569355725499,-0.4071569355725499,0.0,0.0
51,0.6600760656212157,0.6600760656212157,0.0,0.0
52,-0.09851713895957917,-0.09851713895957917,0.0,0.0
53,-0.1090254859418235,-0.1090254859418235,0.0,0.0
54,-0.37420991652616664,-0.37420991652616664,0.0,0.0
55,0.056729310000483854,0.056729310000483854,0.0,0.0
56,-1.1847612524033795,-1.1847612524033795,0.0,0.0
